pathway,n_genes,n_edges,mean_hi,mean_lo,d,cohen_d,d_ci_lo,d_ci_hi,mw_p,perm_p,perm_q,n_null_sets,null_median_abs_d,null_p95,null_pct,n_null_block_sets,block_null_median_abs_d,block_null_p95,block_null_pct
FoxO signaling pathway,29,812,0.0344736240804195,0.0344726964831352,9.275972843170166e-07,0.0588807883237002,-0.1119143975689387,0.2296759742163392,0.6375271295089427,0.4725274725274725,0.79887759299524,200,0.110556985448693,0.2755472209204662,0.746268656716418,200,0.10780474545650456,0.2745515151634977,0.7611940298507462
Hippo signaling pathway,73,5256,0.0136970430612564,0.0136971492320299,-1.0617077350616456e-07,-0.0453221995294826,-0.2161023096439009,0.1254579105849356,0.9593895984437824,0.6333666333666333,0.8226164079822617,200,0.1118584718528453,0.2535097460454475,0.7960199004975125,200,0.10266952045456498,0.2629624580502632,0.8208955223880597
Wnt signaling pathway,66,4290,0.0151493176817893,0.0151495086029171,-1.909211277961731e-07,-0.0609052152459299,-0.231702988581628,0.109892558089768,0.77285712611816,0.5014985014985015,0.79887759299524,200,0.0924580782988379,0.2477237803911614,0.6766169154228856,200,0.09396394794430045,0.25265594965914734,0.6915422885572139
Notch signaling pathway,43,1806,0.0232517942786216,0.0232517030090093,9.12696123123169e-08,0.0141112891016287,-0.1566490254853265,0.1848716036885841,0.6547875453971178,0.8581418581418582,0.8917944800297742,200,0.0976153960438362,0.2636279630282048,0.9502487562189056,200,0.09562366167605335,0.25781685424647066,0.9104477611940298
Hedgehog signaling pathway,38,1406,0.0263118669390678,0.026310758665204,1.1082738637924194e-06,0.1428724055068487,-0.0281034947087774,0.3138483057224748,0.2314537902280788,0.1308691308691308,0.578005328005328,200,0.1011693240548219,0.2862105906102742,0.3781094527363184,200,0.11752823409527789,0.2541766509407169,0.4228855721393035
JAK-STAT signaling pathway,91,8190,0.0109880985692143,0.0109880985692143,0.0,0.0,-0.170758189431661,0.170758189431661,0.7781168280000474,1.0,1.0,200,0.1033095568597812,0.256871453287169,1.0,200,0.09969064036585973,0.23294642133597865,1.0
TGF-beta signaling pathway,41,1640,0.0243859123438596,0.0243863407522439,-4.284083843231201e-07,-0.0607654870031013,-0.2315630789419354,0.1100321049357327,0.8312338261978647,0.4935064935064935,0.79887759299524,200,0.1000665570101975,0.2564311226236908,0.6716417910447762,200,0.0892799042524893,0.25795256985546705,0.6865671641791045
NF-kappa B signaling pathway,46,2070,0.0217347107827663,0.0217351000756025,-3.8929283618927e-07,-0.06452762659215,-0.235330247923207,0.106274994738907,0.9088998900534956,0.4775224775224775,0.79887759299524,200,0.0922356136465417,0.246425659512679,0.6517412935323383,200,0.09587179709169996,0.24597640047372035,0.6766169154228856
TNF signaling pathway,22,462,0.0454403311014175,0.045438528060913,1.8030405044555664e-06,0.0724100333484302,-0.0984041043128081,0.2432241710096687,0.5242540726970861,0.4145854145854146,0.79887759299524,200,0.0901463469632844,0.2585619921543754,0.5870646766169154,200,0.08881602366740085,0.2815771940689677,0.6019900497512438
VEGF signaling pathway,5,20,0.1998698413372039,0.1997926086187362,7.72327184677124e-05,0.1823857253064556,0.0112728932509648,0.3534985573619463,0.0456772434701839,0.0409590409590409,0.3328100470957614,0,,,,200,0.10875306044822661,0.2663374949043971,0.19900497512437812
HIF-1 signaling pathway,35,1190,0.0285653173923492,0.0285628717392683,2.4456530809402466e-06,0.2143256903057193,0.0430779629130275,0.3855734176984112,0.0044260585898413,0.0179820179820179,0.2382617382617383,200,0.089847525418746,0.2651444886666176,0.1194029850746268,200,0.10627246058562928,0.2581461032323515,0.14925373134328357
PD-L1 expression and PD-1 checkpoint pathway in cancer,17,272,0.0588068962097168,0.058801595121622,5.301088094711304e-06,0.1403482119160981,-0.0306200681439182,0.3113164919761145,0.1863954605237543,0.1068931068931069,0.5665334665334665,53,0.079589254044207,0.2576831105638633,0.2777777777777778,200,0.11253236390524513,0.2726077092474075,0.373134328358209
Proteoglycans in cancer,56,3080,0.0178541708737611,0.0178544912487268,-3.203749656677246e-07,-0.0710110409372846,-0.2418230379331967,0.0998009560586274,0.8027918285473997,0.4395604395604395,0.79887759299524,200,0.0993538793250287,0.2586431057603494,0.6517412935323383,200,0.09754129507098062,0.24449596224815567,0.6865671641791045
Central carbon metabolism in cancer,19,342,0.0526198856532573,0.0526174679398536,2.4177134037017822e-06,0.0766107408398707,-0.0942100753145969,0.2474315569943384,0.2542465808038762,0.3956043956043956,0.79887759299524,200,0.1022369017657975,0.2522153846622745,0.6417910447761194,200,0.10152755265356207,0.269454214056924,0.6616915422885572
