dataset,model,horizon,threshold,net_benefit
BRCA,risk,5y,0.3,0.002483687465460036
BRCA,risk,5y,0.35000000000000003,0.0014269840116083396
BRCA,risk,5y,0.4,0.0014269840116083396
BRCA,risk,5y,0.45,0.0
BRCA,risk,5y,0.5,0.0
BRCA,risk,5y,0.55,0.0
KIRC,treat_all,1y,0.05,0.04952329826065011
KIRC,treat_all,1y,0.1,-0.0032809629470915425
KIRC,treat_all,1y,0.15000000000000002,-0.06229749017927341
KIRC,treat_all,1y,0.2,-0.128691083315478
KIRC,treat_all,1y,0.25,-0.20393715553650987
KIRC,treat_all,1y,0.3,-0.28993266664626055
KIRC,treat_all,1y,0.35000000000000003,-0.3891582563882807
KIRC,treat_all,1y,0.4,-0.5049214444206374
KIRC,treat_all,1y,0.45,-0.6417324848225134
KIRC,treat_all,1y,0.5,-0.8059057333047648
KIRC,treat_all,1y,0.55,-1.0065619258941831
KIRC,clinical,1y,0.05,0.038426065341411464
KIRC,clinical,1y,0.1,0.054983241624815146
KIRC,clinical,1y,0.15000000000000002,0.05812614610817772
KIRC,clinical,1y,0.2,0.038467933175822824
KIRC,clinical,1y,0.25,0.018687133236278616
KIRC,clinical,1y,0.3,0.015221425741693316
KIRC,clinical,1y,0.35000000000000003,0.007935664825728623
KIRC,clinical,1y,0.4,0.003965909763220674
KIRC,clinical,1y,0.45,0.0
KIRC,clinical,1y,0.5,0.0
KIRC,clinical,1y,0.55,0.0
KIRC,clinical+risk,1y,0.05,0.03996486648269499
KIRC,clinical+risk,1y,0.1,0.05606790406883085
KIRC,clinical+risk,1y,0.15000000000000002,0.04442714792355667
KIRC,clinical+risk,1y,0.2,0.03733374534685685
KIRC,clinical+risk,1y,0.25,0.024062755702120908
KIRC,clinical+risk,1y,0.3,0.02038062051406471
KIRC,clinical+risk,1y,0.35000000000000003,0.018501971810169795
KIRC,clinical+risk,1y,0.4,0.011355690602921319
KIRC,clinical+risk,1y,0.45,0.0076189582460006134
KIRC,clinical+risk,1y,0.5,0.005611832211069275
KIRC,clinical+risk,1y,0.55,0.005833394210827051
KIRC,risk,1y,0.05,0.006884489704841165
KIRC,risk,1y,0.1,0.028251427756895018
KIRC,risk,1y,0.15000000000000002,0.012229996614075261
KIRC,risk,1y,0.2,0.00975229201354073
KIRC,risk,1y,0.25,0.005862219360292775
KIRC,risk,1y,0.3,0.006748467359323879
KIRC,risk,1y,0.35000000000000003,0.003666110771708619
KIRC,risk,1y,0.4,0.0
KIRC,risk,1y,0.45,0.0
KIRC,risk,1y,0.5,0.0
KIRC,risk,1y,0.55,0.0
KIRC,treat_all,3y,0.05,0.19631295275538785
KIRC,treat_all,3y,0.1,0.1516636723529094
KIRC,treat_all,3y,0.15000000000000002,0.10176153543249228
KIRC,treat_all,3y,0.2,0.04562163139702308
KIRC,treat_all,3y,0.25,-0.018003593176508736
KIRC,treat_all,3y,0.3,-0.09071813554625935
KIRC,treat_all,3y,0.35000000000000003,-0.1746195305882794
KIRC,treat_all,3y,0.4,-0.27250449147063593
KIRC,treat_all,3y,0.45,-0.38818671796796644
KIRC,treat_all,3y,0.5,-0.5270053897647631
KIRC,treat_all,3y,0.55,-0.6966726552941813
KIRC,clinical,3y,0.05,0.0009648452765038118
KIRC,clinical,3y,0.1,0.06057577971235101
KIRC,clinical,3y,0.15000000000000002,0.080156274751008
KIRC,clinical,3y,0.2,0.10615220710572626
KIRC,clinical,3y,0.25,0.11513994802197532
KIRC,clinical,3y,0.3,0.1034515238557854
KIRC,clinical,3y,0.35000000000000003,0.10176533861685069
KIRC,clinical,3y,0.4,0.09266621660575575
KIRC,clinical,3y,0.45,0.07147255199876376
KIRC,clinical,3y,0.5,0.05453890598736255
KIRC,clinical,3y,0.55,0.023436251035161813
KIRC,clinical+risk,3y,0.05,0.018841644226995413
KIRC,clinical+risk,3y,0.1,0.07064641535441221
KIRC,clinical+risk,3y,0.15000000000000002,0.09658540171857191
KIRC,clinical+risk,3y,0.2,0.10253837506399337
KIRC,clinical+risk,3y,0.25,0.12009843875151888
KIRC,clinical+risk,3y,0.3,0.11103922945809833
KIRC,clinical+risk,3y,0.35000000000000003,0.10964754105359578
KIRC,clinical+risk,3y,0.4,0.09718354525702763
KIRC,clinical+risk,3y,0.45,0.086270496573991
KIRC,clinical+risk,3y,0.5,0.05918558674292726
KIRC,clinical+risk,3y,0.55,0.04834270467196078
KIRC,risk,3y,0.05,0.0017774270469806952
KIRC,risk,3y,0.1,0.004215172358411401
KIRC,risk,3y,0.15000000000000002,0.0267252345289547
KIRC,risk,3y,0.2,0.06364763273456098
KIRC,risk,3y,0.25,0.07075913691936078
KIRC,risk,3y,0.3,0.054322091920287564
KIRC,risk,3y,0.35000000000000003,0.0425084419491302
KIRC,risk,3y,0.4,0.028792579625602645
KIRC,risk,3y,0.45,0.018372032068492264
KIRC,risk,3y,0.5,0.019997195609446045
KIRC,risk,3y,0.55,0.015094733941062304
KIRC,treat_all,5y,0.05,0.33009181566673185
KIRC,treat_all,5y,0.1,0.2928746943148836
KIRC,treat_all,5y,0.15000000000000002,0.251279088098112
KIRC,treat_all,5y,0.2,0.20448403110424407
KIRC,treat_all,5y,0.25,0.1514496331778603
KIRC,treat_all,5y,0.3,0.09083889269056461
KIRC,treat_all,5y,0.35000000000000003,0.020903422897531054
KIRC,treat_all,5y,0.4,-0.06068795852767461
KIRC,treat_all,5y,0.45,-0.157114136575645
KIRC,treat_all,5y,0.5,-0.27282555023320954
KIRC,treat_all,5y,0.55,-0.4142506113702329
KIRC,clinical,5y,0.05,0.0002678466662026646
KIRC,clinical,5y,0.1,0.007057233205553626
KIRC,clinical,5y,0.15000000000000002,0.05517198715813715
KIRC,clinical,5y,0.2,0.08534171077418898
KIRC,clinical,5y,0.25,0.12321320203984162
KIRC,clinical,5y,0.3,0.1333120709496035
KIRC,clinical,5y,0.35000000000000003,0.14883189103108735
KIRC,clinical,5y,0.4,0.15369024115863217
KIRC,clinical,5y,0.45,0.1345693239707712
KIRC,clinical,5y,0.5,0.14712672410515346
KIRC,clinical,5y,0.55,0.12864116840706147
KIRC,clinical+risk,5y,0.05,0.0002678466662026646
KIRC,clinical+risk,5y,0.1,0.029732036838807707
KIRC,clinical+risk,5y,0.15000000000000002,0.0899424362955476
KIRC,clinical+risk,5y,0.2,0.1171550534201184
KIRC,clinical+risk,5y,0.25,0.12452749308327449
KIRC,clinical+risk,5y,0.3,0.14674544893070937
KIRC,clinical+risk,5y,0.35000000000000003,0.16940261401671391
KIRC,clinical+risk,5y,0.4,0.15295863861625636
KIRC,clinical+risk,5y,0.45,0.14950076975749593
KIRC,clinical+risk,5y,0.5,0.15224401904032092
KIRC,clinical+risk,5y,0.55,0.12883056923838027
KIRC,risk,5y,0.05,0.0002678466662026646
KIRC,risk,5y,0.1,0.0027073757887351446
KIRC,risk,5y,0.15000000000000002,0.007586434033800049
KIRC,risk,5y,0.2,0.017158908155029684
KIRC,risk,5y,0.25,0.04184745723432903
KIRC,risk,5y,0.3,0.07598878913674983
KIRC,risk,5y,0.35000000000000003,0.10843564617279766
KIRC,risk,5y,0.4,0.11497636747577314
KIRC,risk,5y,0.45,0.090597217272472
KIRC,risk,5y,0.5,0.06969123714399991
KIRC,risk,5y,0.55,0.04799310070042617
