pathway,n_genes,n_edges,mean_hi,mean_lo,d,cohen_d,d_ci_lo,d_ci_hi,mw_p,perm_p,perm_q,n_null_sets,null_median_abs_d,null_p95,null_pct,n_null_block_sets,block_null_median_abs_d,block_null_p95,block_null_pct
Rap1 signaling pathway,85,7140,0.0117671024054288,0.0117666078731417,4.945322871208191e-07,0.3982453959149656,0.2781202397323316,0.5183705520975997,1.3138543902564109e-11,0.0009990009990009,0.0013933434986066,200,0.1430536565671805,0.3872624139284541,0.0298507462686567,200,0.168319494945953,0.3987426928993812,0.14427860696517414
ErbB signaling pathway,11,110,0.0910548120737075,0.0910126492381095,4.216283559799194e-05,0.4631763787633437,0.3426401545139292,0.5837126030127582,8.468298294111311e-14,0.0009990009990009,0.0013933434986066,0,,,,200,0.12121361971840705,0.4304162544322851,0.04975124378109453
mTOR signaling pathway,88,7656,0.0113660749047994,0.0113655859604477,4.889443516731262e-07,0.4406257780934697,0.3202391794308041,0.5610123767561354,1.4027379624686824e-11,0.0009990009990009,0.0013933434986066,200,0.1374218390458491,0.3614526270047679,0.0298507462686567,200,0.16295736934918809,0.44062577809346976,0.08955223880597014
AMPK signaling pathway,74,5402,0.0135168218985199,0.0135162696242332,5.522742867469788e-07,0.3317593937193996,0.2119920798022817,0.4515267076365175,1.760704321008162e-10,0.0009990009990009,0.0013933434986066,200,0.1477221643626633,0.3753386767957016,0.1094527363184079,200,0.16757444366469068,0.38659123586571886,0.19900497512437812
FoxO signaling pathway,29,812,0.0345034673810005,0.0344999320805072,3.5353004932403564e-06,0.322270742390369,0.2025492605324166,0.4419922242483214,1.1140433502119453e-07,0.0009990009990009,0.0013933434986066,200,0.1213467199419991,0.3498511832120483,0.0696517412935323,200,0.15952346923204214,0.4053676144019059,0.1691542288557214
Hippo signaling pathway,73,5256,0.0137016968801617,0.0137011520564556,5.448237061500549e-07,0.3193187715687083,0.1996112805877113,0.4390262625497053,2.4416376407518694e-08,0.0009990009990009,0.0013933434986066,200,0.1419211750515841,0.357726214304446,0.1194029850746268,200,0.1468666812204371,0.3420661760863494,0.11442786069651742
Wnt signaling pathway,66,4290,0.015155354514718,0.0151549596339464,3.948807716369629e-07,0.1996988214797066,0.0804508681371724,0.3189467748222409,0.0019067609495468,0.0009990009990009,0.0013933434986066,200,0.1301004042234413,0.3447524097587072,0.2736318407960199,200,0.1442511768856002,0.36523533043078676,0.3383084577114428
Notch signaling pathway,43,1806,0.0232646726071834,0.0232630092650651,1.6633421182632446e-06,0.3438564733107432,0.2240288263797447,0.4636841202417418,2.3995792832832484e-09,0.0009990009990009,0.0013933434986066,200,0.1132446388120218,0.3092896652646024,0.0398009950248756,200,0.1485468573296422,0.34407144783952215,0.12437810945273632
Hedgehog signaling pathway,38,1406,0.0263264831155538,0.026323914527893,2.5685876607894897e-06,0.3918311319505024,0.271743289767736,0.5119189741332689,6.22252096583018e-11,0.0009990009990009,0.0013933434986066,200,0.1220992420382927,0.3648305115433897,0.044776119402985,200,0.16848483624240512,0.42398416081539736,0.11940298507462686
JAK-STAT signaling pathway,91,8190,0.0109909633174538,0.010990722104907,2.4121254682540894e-07,0.2260449433924275,0.106713835696618,0.3453760510882371,0.000416501146727,0.0009990009990009,0.0013933434986066,200,0.1341619042590527,0.3704717786106554,0.2487562189054726,200,0.13271727581596604,0.3875103676638633,0.31840796019900497
TGF-beta signaling pathway,41,1640,0.0243991017341613,0.0243986696004867,4.3213367462158203e-07,0.079970846951442,-0.0390285269039621,0.1989702208068462,0.0946741259724034,0.1708291708291708,0.2011988011988011,200,0.1146738594507728,0.3611827015715478,0.6318407960199005,200,0.12545563894156844,0.39322115457090195,0.6766169154228856
NF-kappa B signaling pathway,46,2070,0.0217467937618494,0.0217451751232147,1.6186386346817017e-06,0.3320338461754326,0.2122651870748368,0.4518025052760284,1.2974783950514634e-07,0.0009990009990009,0.0013933434986066,200,0.1351651729195602,0.3886967334172023,0.0845771144278607,200,0.1763897142131679,0.38981464954981065,0.19900497512437812
TNF signaling pathway,22,462,0.0454858504235744,0.0454828813672065,2.969056367874145e-06,0.1389850821757048,0.0198897205237536,0.2580804438276561,0.0131537967842164,0.0199800199800199,0.0246265362544432,200,0.1004385379945061,0.3380805039073599,0.3880597014925373,200,0.14846957929833093,0.37839278071670773,0.572139303482587
VEGF signaling pathway,5,20,0.2005849480628967,0.2004695832729339,0.0001153647899627,0.2413404703258768,0.1219563948371526,0.3607245458146009,0.0002369048429377,0.0009990009990009,0.0013933434986066,0,,,,200,0.13899409763197296,0.38370844396024983,0.21890547263681592
HIF-1 signaling pathway,35,1190,0.0285878293216228,0.0285831186920404,4.71062958240509e-06,0.65499584114392,0.5328961145392185,0.7770955677486214,5.1832995949907e-25,0.0009990009990009,0.0013933434986066,200,0.1237616069337114,0.3482088830673476,0.0049751243781094,200,0.13113901746083134,0.4172741779699333,0.024875621890547265
PD-L1 expression and PD-1 checkpoint pathway in cancer,17,272,0.0588615648448467,0.0588604882359504,1.0766088962554932e-06,0.0324373901384706,-0.0865222693484035,0.1513970496253447,0.8530894471977539,0.6053946053946054,0.6053946053946054,53,0.1152926903944118,0.3581295928452055,0.8148148148148148,200,0.13170856301576583,0.39540095861677604,0.8905472636815921
Proteoglycans in cancer,56,3080,0.0178619883954525,0.0178617071360349,2.812594175338745e-07,0.1010346304113464,-0.0179930739320163,0.2200623347547091,0.0259494853677798,0.0999000999000999,0.1203342112433021,200,0.1381841957800388,0.3408448411101936,0.6268656716417911,200,0.1227452793554413,0.40317582902394533,0.6467661691542289
Central carbon metabolism in cancer,19,342,0.0526833795011043,0.0526728108525276,1.056864857673645e-05,0.4309339811341268,0.3106094490244068,0.5512585132438468,1.4907817448700494e-12,0.0009990009990009,0.0013933434986066,200,0.1084961929994159,0.3339415309374999,0.0149253731343283,200,0.1421343985876925,0.4145757151023898,0.05472636815920398
Transcriptional misregulation in cancer,123,15006,0.0081312200054526,0.0081310765817761,1.434236764907837e-07,0.2681937525001708,0.1487083646537742,0.3876791403465673,5.435234068845136e-05,0.0009990009990009,0.0013933434986066,0,,,,200,0.2681937525001708,0.5842056354232694,0.6218905472636815
Chemical carcinogenesis,120,14280,0.0083344159647822,0.0083343433216214,7.264316082000732e-08,0.1849683352093907,0.0657624109700984,0.3041742594486831,0.0540219906207498,0.0029970029970029,0.0038741746058819,0,,,,200,0.18496833520939077,0.45624521266176576,0.5621890547263682
Viral carcinogenesis,90,8010,0.0111133391037583,0.0111129451543092,3.939494490623474e-07,0.3596895490954878,0.2397797206393384,0.4795993775516372,1.1064276242510214e-09,0.0009990009990009,0.0013933434986066,200,0.123867076362934,0.3689463914708587,0.0597014925373134,200,0.1505506517894466,0.5457560007227682,0.1691542288557214
Non-small cell lung cancer,5,20,0.2006523013114929,0.2005332559347152,0.0001190453767776,0.2212100008952255,0.1018949199058743,0.3405250818845767,0.0002657726568835,0.0009990009990009,0.0013933434986066,0,,,,200,0.12874001963828507,0.3337699683359236,0.25870646766169153
