pathway,k,n_edges,mean_abs_d,topdec_mean_abs_d,concentration,max_abs_d,null_median_mean_abs_d,pct_mean,null_median_topdec,pct_topdec,null_median_conc,pct_conc,null_median_max,pct_max
Hedgehog signaling pathway,38,1406,0.00018590112027323173,0.000442418487782122,0.23866297615702056,0.0005533713847398,7.015829614414088e-05,100.0,0.0001739735008342408,100.0,0.25987192370922074,24.5,0.00027278298512095,100.0
HIF-1 signaling pathway,35,1190,0.00018163343281051407,0.00045230250586476893,0.24901941171624808,0.000616455450654,7.425286306239151e-05,96.5,0.0001886530638429315,100.0,0.2516964575860179,45.5,0.00028392579406495,100.0
Glycolysis / Gluconeogenesis,30,870,0.00021049147364733944,0.0006517233091523815,0.30961981398082117,0.0009053573012351,7.462626183939347e-05,100.0,0.00018719038872535806,100.0,0.25101328824413305,93.5,0.0002571386285126,98.0
Colorectal cancer,6,30,0.0012682850162187675,0.002158815662066067,0.1702153407522155,0.0023960173130035,0.00012104565588133762,98.5,0.00027780483166369997,100.0,0.22806189284172784,7.5,0.0002908110618591,98.5
Gastric cancer,7,42,0.0007055235050972987,0.001832702755928,0.3092439839905108,0.0026987791061401,0.0001337613599995462,100.0,0.00028550904244180005,100.0,0.26933638407504473,77.0,0.0003265151754021,100.0
Ferroptosis,33,1056,0.00018391197998863772,0.0006028560324097039,0.32903760702505597,0.000946594402194,8.203650456075522e-05,91.0,0.00021060087436910752,100.0,0.2595902272715027,98.0,0.00031360192224375,100.0
AMPK signaling pathway,74,5402,7.714426264948744e-05,0.00021054236951680426,0.2733244980448958,0.0003228671848773,6.009623474174617e-05,89.5,0.0001574296361375477,99.5,0.2612083351100847,71.5,0.0002725254744291,89.5
Central carbon metabolism in cancer,19,342,0.00027012000437713,0.0007327566189424914,0.27761628627910656,0.0010022781789302,0.00011141805321367742,92.0,0.00027401356824801714,98.5,0.2508500120265198,77.0,0.00034380936995139996,99.0
Non-small cell lung cancer,5,20,0.0009642407298087634,0.00213287770748135,0.2211976368084307,0.0022498071193695,0.00013319333083925276,96.5,0.00030155899003142495,98.0,0.2190582907016091,51.5,0.00031115673482415003,97.5
Regulation of actin cytoskeleton,63,3906,9.988868204685038e-05,0.00028066841356660845,0.28126893924317425,0.0004551708698272,6.312155641644904e-05,94.0,0.0001641831198787688,98.0,0.26239941592967464,79.5,0.0002776347100734,100.0
