pathway,drug,n,rho,P,q
Ferroptosis,Docetaxel,49,-0.08397959183673467,0.5661732463383644,0.9605053886154118
Ferroptosis,Cisplatin,49,0.07714285714285714,0.5983005766466022,0.9605053886154118
Ferroptosis,AZD7762,49,0.20306122448979588,0.16170452689121526,0.9158113520080801
Ferroptosis,AZD6738,49,0.1743877551020408,0.23075738045062477,0.9323688896375848
Ferroptosis,Talazoparib,49,0.1313265306122449,0.3684086231659487,0.9323688896375848
Ferroptosis,Niraparib,49,-0.017040816326530612,0.9074823984241472,0.9790160177334756
Ferroptosis,Olaparib,49,0.0033673469387755102,0.9816798080633319,0.9881973232016997
Ferroptosis,Ribociclib,49,-0.026224489795918363,0.8580451508115967,0.9724511709198096
Ferroptosis,Trametinib,49,0.11204081632653061,0.4434043480659067,0.9323688896375848
Ferroptosis,Erlotinib,49,0.07163265306122449,0.6247615634927834,0.9605053886154118
Ferroptosis,Selumetinib,49,0.08959183673469386,0.5404146501944502,0.9542104089182202
Apoptosis,MK-1775,49,0.21081632653061222,0.1459417445714493,0.9158113520080801
Apoptosis,Paclitaxel,49,0.00683673469387755,0.9628143318866723,0.9843598274253951
Apoptosis,Gefitinib,49,0.034081632653061224,0.81616512712711,0.9644783808895394
Apoptosis,Gemcitabine,49,0.16193877551020408,0.2662822396449768,0.9323688896375848
Apoptosis,5-Fluorouracil,49,0.17367346938775505,0.23270286186520547,0.9323688896375848
Apoptosis,Palbociclib,49,0.20397959183673467,0.15977554281473264,0.9158113520080801
Apoptosis,Docetaxel,49,0.08663265306122449,0.5539255905660958,0.9572567534369173
Apoptosis,Cisplatin,49,0.19102040816326532,0.18858767508112653,0.9159020465389225
Apoptosis,AZD7762,49,0.32989795918367343,0.020618725290633508,0.7945052062349137
Apoptosis,AZD6738,49,0.19755102040816325,0.17363678494455653,0.9158113520080801
Apoptosis,Talazoparib,49,0.2602040816326531,0.07097268772202281,0.8945005987034255
Apoptosis,Niraparib,49,0.23357142857142857,0.10626265883628404,0.9158113520080801
Apoptosis,Olaparib,49,0.10153061224489794,0.4875793417528663,0.9323688896375848
Apoptosis,Ribociclib,49,0.10693877551020406,0.46456663211375504,0.9323688896375848
Apoptosis,Trametinib,49,0.017551020408163264,0.9047250020538381,0.9783342847653189
Apoptosis,Erlotinib,49,0.14887755102040814,0.30728131823227695,0.9323688896375848
Apoptosis,Selumetinib,49,-0.037959183673469385,0.7956752944109444,0.9621202040318297
Hepatocellular carcinoma,MK-1775,49,0.07908163265306122,0.5891087904680494,0.9605053886154118
Hepatocellular carcinoma,Paclitaxel,49,0.039999999999999994,0.7849447575636722,0.9621202040318297
Hepatocellular carcinoma,Gefitinib,49,0.04285714285714285,0.769988629778843,0.9621202040318297
Hepatocellular carcinoma,Gemcitabine,49,0.11663265306122449,0.42482320950568386,0.9323688896375848
Hepatocellular carcinoma,5-Fluorouracil,49,0.09551020408163266,0.5138807155164452,0.9486030379861653
Hepatocellular carcinoma,Palbociclib,49,-0.02448979591836735,0.8673479687693445,0.9744519411513071
Hepatocellular carcinoma,Docetaxel,49,0.04795918367346939,0.743489309469982,0.9621202040318297
Hepatocellular carcinoma,Cisplatin,49,0.06275510204081633,0.6683831457054057,0.9605053886154118
Hepatocellular carcinoma,AZD7762,49,0.07877551020408162,0.5905559263661879,0.9605053886154118
Hepatocellular carcinoma,AZD6738,49,0.015306122448979591,0.9168654283782078,0.9797021202123788
Hepatocellular carcinoma,Talazoparib,49,0.023775510204081626,0.8711837880793121,0.9744519411513071
Hepatocellular carcinoma,Niraparib,49,0.03979591836734694,0.7860160687692941,0.9621202040318297
Hepatocellular carcinoma,Olaparib,49,0.0807142857142857,0.5814176191016809,0.9605053886154118
Hepatocellular carcinoma,Ribociclib,49,-0.004795918367346938,0.9739098872457992,0.9874176526722319
Hepatocellular carcinoma,Trametinib,49,-0.08132653061224489,0.5785451944928279,0.9605053886154118
Hepatocellular carcinoma,Erlotinib,49,-0.0032653061224489793,0.9822348752243806,0.9881973232016997
Hepatocellular carcinoma,Selumetinib,49,0.0639795918367347,0.6622973542245638,0.9605053886154118
Mitophagy,MK-1775,49,0.20846938775510201,0.15058687333963022,0.9158113520080801
Mitophagy,Paclitaxel,49,0.14959183673469387,0.3049399631489697,0.9323688896375848
Mitophagy,Gefitinib,49,0.13765306122448978,0.3455802220734343,0.9323688896375848
Mitophagy,Gemcitabine,49,0.105,0.47274852304341264,0.9323688896375848
Mitophagy,5-Fluorouracil,49,0.22204081632653058,0.12518388595065516,0.9158113520080801
Mitophagy,Palbociclib,49,0.22387755102040813,0.1220107804749679,0.9158113520080801
Mitophagy,Docetaxel,49,0.28714285714285714,0.04545081251108355,0.7945052062349137
Mitophagy,Cisplatin,49,0.14846938775510204,0.3086243926002235,0.9323688896375848
Mitophagy,AZD7762,49,0.07999999999999999,0.5847769139077745,0.9605053886154118
Mitophagy,AZD6738,49,0.11744897959183671,0.42156663992660415,0.9323688896375848
Mitophagy,Talazoparib,49,0.16642857142857143,0.25307272398112063,0.9323688896375848
Mitophagy,Niraparib,49,0.023979591836734693,0.8700875365406151,0.9744519411513071
Mitophagy,Olaparib,49,0.12887755102040815,0.37748363740769975,0.9323688896375848
Mitophagy,Ribociclib,49,0.10122448979591836,0.48889950492080625,0.9323688896375848
Mitophagy,Trametinib,49,-0.0034693877551020403,0.9811247494849328,0.9881973232016997
Mitophagy,Erlotinib,49,0.17693877551020407,0.22390066564483313,0.9273275876045036
Mitophagy,Selumetinib,49,0.1233673469387755,0.39838398883102355,0.9323688896375848
ErbB signaling pathway,MK-1775,49,-0.031020408163265303,0.8324283935215492,0.9671421968746369
ErbB signaling pathway,Paclitaxel,49,0.05255102040816326,0.71988778839326,0.9621202040318297
ErbB signaling pathway,Gefitinib,49,-0.1207142857142857,0.40868290227028703,0.9323688896375848
ErbB signaling pathway,Gemcitabine,49,-0.2120408163265306,0.14356074303532118,0.9158113520080801
ErbB signaling pathway,5-Fluorouracil,49,-0.09918367346938775,0.4977480051056571,0.9353567910854379
ErbB signaling pathway,Palbociclib,49,-0.17153061224489793,0.2386067495930843,0.9323688896375848
ErbB signaling pathway,Docetaxel,49,0.08785714285714286,0.5483154918435384,0.9562805840174761
ErbB signaling pathway,Cisplatin,49,-0.3016326530612245,0.035182389245203324,0.7945052062349137
ErbB signaling pathway,AZD7762,49,-0.195,0.17937149300229643,0.9158113520080801
ErbB signaling pathway,AZD6738,49,-0.19602040816326527,0.17706147826997853,0.9158113520080801
