pathway,drug,n,rho,P,q
ErbB signaling pathway,MK-1775,805,-0.09917709512024055,0.004855333088987267,0.01472210383019603
ErbB signaling pathway,Paclitaxel,805,-0.08270024965719007,0.018935943853756403,0.0449421264840777
ErbB signaling pathway,Gefitinib,805,-0.09780031151365223,0.005483114338584356,0.016064773973082595
ErbB signaling pathway,Gemcitabine,805,-0.0661588563202513,0.06062333642660509,0.1178607950208732
ErbB signaling pathway,5-Fluorouracil,805,-0.0456146436720425,0.19605796148441956,0.2973410162761633
ErbB signaling pathway,Palbociclib,805,-0.08012525922162338,0.022997312398726995,0.05261503963809991
ErbB signaling pathway,Docetaxel,805,-0.04802766706839054,0.17340809182024397,0.26970492578850713
ErbB signaling pathway,Cisplatin,805,-0.10121394169666134,0.004045173446774284,0.012529753345728822
ErbB signaling pathway,AZD7762,805,-0.12018965941220028,0.0006327360488226739,0.0026582186878699693
ErbB signaling pathway,AZD6738,805,-0.08432715052421567,0.0167057852590759,0.04134318721531231
ErbB signaling pathway,Talazoparib,805,-0.08422943157614819,0.016832931428898475,0.04134318721531231
ErbB signaling pathway,Niraparib,805,-0.12939978528515506,0.00023215658793110426,0.0011466653093083596
ErbB signaling pathway,Olaparib,805,-0.09286311227028399,0.008379949209379336,0.023560549507908823
ErbB signaling pathway,Ribociclib,805,-0.09893413195416502,0.004961167975858655,0.01480250526674562
ErbB signaling pathway,Trametinib,805,0.03233100867439692,0.35960063462843994,0.480826046012269
ErbB signaling pathway,Erlotinib,805,-0.0498353293103246,0.1577631783107488,0.2487299359686315
ErbB signaling pathway,Selumetinib,805,-0.00242703226312529,0.9451853355239489,0.9626369822295918
Necroptosis,MK-1775,805,0.10930816687028615,0.001897393373858582,0.006798992922993252
Necroptosis,Paclitaxel,805,0.0543390042374782,0.1234440932773161,0.20792081148782968
Necroptosis,Gefitinib,805,-0.017329332868048827,0.6234620077975764,0.709892099221228
Necroptosis,Gemcitabine,805,0.09000023233554034,0.010626353161097718,0.028041206620316023
Necroptosis,5-Fluorouracil,805,0.05292900354967299,0.13349849596657853,0.22178954670811116
Necroptosis,Palbociclib,805,0.01971606307953664,0.5764487470998458,0.6720638502870612
Necroptosis,Docetaxel,805,0.03434832546084862,0.33039355395207626,0.45569375082824104
Necroptosis,Cisplatin,805,0.14482309258847326,3.717455488620545e-05,0.00024048318249394855
Necroptosis,AZD7762,805,0.056422800995868334,0.10967757638069414,0.1890903498450175
Necroptosis,AZD6738,805,0.058887421008791706,0.09499111001783593,0.166555346345984
Necroptosis,Talazoparib,805,0.1209449339465458,0.0005842741614733917,0.0025272450416393448
Necroptosis,Niraparib,805,0.10693875842187578,0.002380563706660342,0.008093916602645163
Necroptosis,Olaparib,805,0.145856548676251,3.265383738267811e-05,0.00021504464078142072
Necroptosis,Ribociclib,805,0.010956000939463709,0.7562753002641724,0.8137741591940832
Necroptosis,Trametinib,805,-0.11979031832499418,0.0006598432025916458,0.002740598756218711
Necroptosis,Erlotinib,805,6.210950089035119e-06,0.9998596150145824,0.9998596150145824
Necroptosis,Selumetinib,805,-0.07281453343918018,0.03887912189880738,0.08120182316579484
Central carbon metabolism in cancer,MK-1775,805,-0.08028570830479936,0.02272379969319461,0.052439071712156636
Central carbon metabolism in cancer,Paclitaxel,805,-0.0911708123991727,0.009650187263436676,0.02593487827048607
Central carbon metabolism in cancer,Gefitinib,805,-0.051432923694337516,0.14484626842559092,0.23373647288986085
Central carbon metabolism in cancer,Gemcitabine,805,-0.06635643354363917,0.059856624197956496,0.1166805127698832
Central carbon metabolism in cancer,5-Fluorouracil,805,-0.10760153580693238,0.002235175163487154,0.007670953260606149
Central carbon metabolism in cancer,Palbociclib,805,-0.03369816550214132,0.33963461716434373,0.4644178795872146
Central carbon metabolism in cancer,Docetaxel,805,-0.07377337803783536,0.036372681890337086,0.07770088022703384
Central carbon metabolism in cancer,Cisplatin,805,-0.12011650822226275,0.0006376228551167564,0.002663441754801994
Central carbon metabolism in cancer,AZD7762,805,-0.08412269524869219,0.016972778559470044,0.04149532149489164
Central carbon metabolism in cancer,AZD6738,805,-0.07996000148142661,0.02328200138323114,0.052690845235733634
