pathway,n_genes,n_edges,mean_hi,mean_lo,d,cohen_d,d_ci_lo,d_ci_hi,mw_p,perm_p,perm_q,n_null_edge_sets,null_median_abs_d,null_pct,n_null_block_sets,block_null_median_abs_d,block_null_pct
Wnt signaling pathway,64,4032,0.01561578456312418,0.015623624436557293,-7.839873433113098e-06,-0.904576163402229,-1.0828425919816995,-0.7263097348227585,1.7681980815900686e-21,0.000999000999000999,0.0010182125566740952,200,0.09657234210191801,0.004975124378109453,200,0.10187191315220846,0.08955223880597014
Notch signaling pathway,43,1806,0.02323293313384056,0.023254405707120895,-2.1472573280334473e-05,-1.0853798282696536,-1.2672465883721187,-0.9035130681671886,2.2785452521492665e-27,0.000999000999000999,0.0010182125566740952,200,0.09939938212549236,0.004975124378109453,200,0.09492948603751392,0.05472636815920398
Hedgehog signaling pathway,35,1190,0.028540948405861855,0.028569519519805908,-2.857111394405365e-05,-1.0150434095068965,-1.1954405092020135,-0.8346463098117795,4.0747343257603203e-25,0.000999000999000999,0.0010182125566740952,200,0.0909388458468259,0.004975124378109453,200,0.12647511390942331,0.03980099502487562
JAK-STAT signaling pathway,91,8190,0.010984637774527073,0.010988377034664154,-3.7392601370811462e-06,-0.8804557736372663,-1.0582864729018349,-0.7026250743726978,5.960688682210923e-21,0.000999000999000999,0.0010182125566740952,200,0.10079079717806175,0.004975124378109453,200,0.10139553941745477,0.11940298507462686
TGF-beta signaling pathway,39,1482,0.025617461651563644,0.02563791535794735,-2.045370638370514e-05,-0.8735962174799615,-1.0513049600542943,-0.6958874749056287,3.0719420562809906e-20,0.000999000999000999,0.0010182125566740952,200,0.08017138356679931,0.004975124378109453,200,0.08998164442442741,0.03980099502487562
NF-kappa B signaling pathway,46,2070,0.02172216959297657,0.021735984832048416,-1.3815239071846008e-05,-0.8094045381605073,-0.9860144673343401,-0.6327946089866745,1.5163210234507403e-17,0.000999000999000999,0.0010182125566740952,200,0.0958628235416013,0.004975124378109453,200,0.10205841289480118,0.04477611940298507
TNF signaling pathway,22,462,0.04537877067923546,0.045443907380104065,-6.513670086860657e-05,-0.7637405001961689,-0.9396159884587942,-0.5878650119335436,9.411825927796056e-15,0.000999000999000999,0.0010182125566740952,200,0.1089023047985219,0.004975124378109453,200,0.12174631438432458,0.014925373134328358
VEGF signaling pathway,5,20,0.19884800910949707,0.19978199899196625,-0.0009339898824691772,-0.5412610534087384,-0.714136408058548,-0.36838569875892885,2.4469108792161777e-07,0.000999000999000999,0.0010182125566740952,0,,,200,0.11332922259741524,0.03482587064676617
HIF-1 signaling pathway,33,1056,0.030264388769865036,0.030295515432953835,-3.112666308879852e-05,-0.7726315485206112,-0.9486469298875857,-0.5966161671536367,5.166653314397196e-16,0.000999000999000999,0.0010182125566740952,200,0.11574699880481733,0.004975124378109453,200,0.09743782815891937,0.0845771144278607
PD-L1 expression and PD-1 checkpoint pathway in cancer,17,272,0.05873055011034012,0.05880482494831085,-7.427483797073364e-05,-0.5933581208781864,-0.7668484873015056,-0.41986775445486724,2.0518823385040356e-08,0.000999000999000999,0.0010182125566740952,136,0.10034405562237246,0.0072992700729927005,200,0.10591681677941964,0.024875621890547265
Proteoglycans in cancer,54,2862,0.0185029786080122,0.018516480922698975,-1.3502314686775208e-05,-0.9753595750691314,-1.1549659909666956,-0.7957531591715672,5.311878243614011e-28,0.000999000999000999,0.0010182125566740952,200,0.09915254873862533,0.004975124378109453,200,0.10160153149854505,0.04477611940298507
Central carbon metabolism in cancer,18,306,0.055431216955184937,0.0555419847369194,-0.00011076778173446655,-0.8753804637723025,-1.053120844877752,-0.697640082666853,3.2674728820464047e-10,0.000999000999000999,0.0010182125566740952,200,0.1016115201442298,0.004975124378109453,200,0.10026544227993857,0.014925373134328358
Transcriptional misregulation in cancer,105,10920,0.009519821964204311,0.009523116052150726,-3.2940879464149475e-06,-0.9964288672691093,-1.1764515869251375,-0.816406147613081,2.2400928835764194e-25,0.000999000999000999,0.0010182125566740952,0,,,200,0.11517410379435841,0.17412935323383086
Chemical carcinogenesis,114,12882,0.00876868236809969,0.0087714409455657,-2.7585774660110474e-06,-0.8703472010575267,-1.047998482964752,-0.6926959191503016,3.5482296809351535e-25,0.000999000999000999,0.0010182125566740952,0,,,200,0.15670374547750143,0.31840796019900497
Viral carcinogenesis,53,2756,0.018854297697544098,0.018867135047912598,-1.2837350368499756e-05,-1.026862907232552,-1.2075009088936137,-0.84622490557149,1.1891577249427676e-27,0.000999000999000999,0.0010182125566740952,200,0.10275171278299351,0.004975124378109453,200,0.10775205238442076,0.05970149253731343
Non-small cell lung cancer,5,20,0.19919508695602417,0.19988368451595306,-0.000688597559928894,-0.4970980548282593,-0.6694947798181653,-0.3247013298383533,0.0009351095724874617,0.000999000999000999,0.0010182125566740952,0,,,200,0.10967717960843312,0.029850746268656716
