dataset,model,c_index,se,split
STAD,path_agnn_cox_noreg,0.5378040215004938,0.05132720316076036,internal
STAD,path_agnn_cox_static,0.504042293709852,0.06780708003370282,internal
STAD,plain_gnn,0.5084642880775254,0.059786514039692484,internal
STAD,ridge_cox,0.5573756021584684,0.058934246424893436,internal
STAD,rsf,0.5243448174858758,0.0561763011569584,internal
BLCA,cox_nnet,0.3760596737370356,0.20435503234967856,external
BLCA,deepsurv,0.43227687233932666,0.1133692936001414,external
BLCA,elastic_net,0.6810329999458533,0.10470810316611616,external
BLCA,lasso_cox,0.6836562833062871,0.09897261000101318,external
BLCA,path_agnn_cox,0.4485417199952831,0.06851331807432462,external
BLCA,path_agnn_cox_noreg,0.5238643396278087,0.0187477931159509,external
BLCA,path_agnn_cox_static,0.5526364698833945,0.04017657089425377,external
BLCA,plain_gnn,0.5415367032392078,0.018737823343090654,external
BLCA,ridge_cox,0.7065442324999709,0.1189324268561723,external
BLCA,rsf,0.6904085771297798,0.11778196812232072,external
BRCA,cox_nnet,0.46684051631628587,0.02483035802315759,external
BRCA,deepsurv,0.47775406065146747,0.030870372420311203,external
BRCA,elastic_net,0.626363745371922,0.028396559261762922,external
BRCA,lasso_cox,0.6223011930227483,0.02275603717249417,external
BRCA,path_agnn_cox,0.5222573480867428,0.07335724518462917,external
BRCA,path_agnn_cox_noreg,0.5221004170004547,0.07258905503860015,external
BRCA,path_agnn_cox_static,0.503577289102386,0.03446579655533964,external
BRCA,plain_gnn,0.49481535508215724,0.039678718273175186,external
BRCA,ridge_cox,0.6765279635692719,0.030209890196108542,external
BRCA,rsf,0.5783742334542662,0.0568967802191203,external
COAD,cox_nnet,0.5164593175151508,0.023218372572385997,external
COAD,deepsurv,0.5112472718248324,0.021211068936208572,external
COAD,elastic_net,0.5,0.0,external
COAD,lasso_cox,0.5,0.0,external
COAD,path_agnn_cox,0.4810038658457499,0.026092168955683313,external
COAD,path_agnn_cox_noreg,0.4739647020432565,0.039985547876082404,external
COAD,path_agnn_cox_static,0.46318598597591043,0.017417778935754115,external
COAD,plain_gnn,0.48409617717329373,0.01914624143990544,external
COAD,ridge_cox,0.5,0.0,external
COAD,rsf,0.5551744108439708,0.030577344641774157,external
GBM,cox_nnet,0.4828614303990265,0.012134939562281377,external
GBM,deepsurv,0.47215853208276576,0.01672623337304568,external
GBM,elastic_net,0.5517691872300987,0.039306084282974385,external
GBM,lasso_cox,0.5474835660233432,0.03817717009076736,external
GBM,path_agnn_cox,0.502646729744652,0.011052567223917356,external
GBM,path_agnn_cox_noreg,0.5325847273384869,0.04392485398051933,external
GBM,path_agnn_cox_static,0.4569330675116463,0.020217917121800433,external
GBM,plain_gnn,0.5092906282637657,0.009748272252497888,external
GBM,ridge_cox,0.5131985963693,0.029145856553110198,external
GBM,rsf,0.4911840928945739,0.06459288463157421,external
HNSC,cox_nnet,0.49274482568923855,0.059697057772851024,external
HNSC,deepsurv,0.47992790540448094,0.036895822903604214,external
HNSC,elastic_net,0.5633106256466462,0.03689351573162698,external
HNSC,lasso_cox,0.5572297206979097,0.026042712264179674,external
HNSC,path_agnn_cox,0.47319724041437283,0.01963624146577709,external
HNSC,path_agnn_cox_noreg,0.47185035661371166,0.017731460127941422,external
HNSC,path_agnn_cox_static,0.46739414998440504,0.038579090923316295,external
HNSC,plain_gnn,0.5127042823467003,0.047142320971099175,external
HNSC,ridge_cox,0.6172366743933848,0.059909168744959496,external
HNSC,rsf,0.5657728723779358,0.04317497750214006,external
KIRC,cox_nnet,0.4310344827586206,,external
KIRC,deepsurv,0.4547413793103448,,external
KIRC,elastic_net,0.3383620689655172,,external
KIRC,lasso_cox,0.3663793103448275,,external
KIRC,path_agnn_cox,0.480603448275862,,external
KIRC,path_agnn_cox_noreg,0.5387931034482759,,external
KIRC,path_agnn_cox_static,0.5732758620689655,,external
KIRC,plain_gnn,0.5883620689655172,,external
KIRC,ridge_cox,0.3081896551724138,,external
KIRC,rsf,0.2672413793103448,,external
LIHC,cox_nnet,0.5580124222758132,0.02773438026490104,external
LIHC,deepsurv,0.5257377963624038,0.030857151487056447,external
LIHC,elastic_net,0.6380911048457479,0.000881944160576956,external
LIHC,lasso_cox,0.6343193123930032,0.0017827928463034547,external
LIHC,path_agnn_cox,0.5083093850851126,0.1301134382905027,external
LIHC,path_agnn_cox_noreg,0.5180083123304704,0.08536418435183687,external
LIHC,path_agnn_cox_static,0.5321378920647695,0.008857731279589286,external
LIHC,plain_gnn,0.504665037188888,0.07087979351482288,external
LIHC,ridge_cox,0.6345091764612056,0.0073522582047588995,external
LIHC,rsf,0.5885850686184149,0.014446421578874847,external
LUAD,cox_nnet,0.5830596281253473,0.09143516783366731,external
LUAD,deepsurv,0.5777401397456816,0.044253720526485164,external
LUAD,elastic_net,0.6072728928618065,0.04018678020046822,external
LUAD,lasso_cox,0.6027389467410135,0.03489558778200626,external
LUAD,path_agnn_cox,0.6154803465734469,0.12582811837439375,external
LUAD,path_agnn_cox_noreg,0.42690568789962025,0.1247096547850533,external
LUAD,path_agnn_cox_static,0.4036755516972525,0.1410892136560317,external
LUAD,plain_gnn,0.40817291444694814,0.14505181132270709,external
LUAD,ridge_cox,0.6106105198226657,0.04339819524172033,external
LUAD,rsf,0.6214007844848101,0.032531977522459656,external
LUSC,cox_nnet,0.4884320540990972,0.013370754748155881,external
LUSC,deepsurv,0.5395585815348307,0.04886953419802931,external
LUSC,elastic_net,0.5119811342408523,0.040049274437616356,external
LUSC,lasso_cox,0.510729540583338,0.03893356569563339,external
LUSC,path_agnn_cox,0.5295471788583652,0.025101065503489655,external
LUSC,path_agnn_cox_noreg,0.5177904857623288,0.03556878468089814,external
LUSC,path_agnn_cox_static,0.5098764050314907,0.014580763427136937,external
LUSC,plain_gnn,0.5123885274242528,0.004638256334836042,external
LUSC,ridge_cox,0.5103113241548337,0.014377941971086817,external
LUSC,rsf,0.500171726293517,0.02384400222286328,external
OV,cox_nnet,0.5262503704791343,0.03759790374637654,external
OV,deepsurv,0.5277797537745363,0.03731466255191383,external
OV,elastic_net,0.528525875293131,0.05132556274345604,external
OV,lasso_cox,0.5502057552780947,0.023799782484955352,external
OV,path_agnn_cox,0.5150478719330176,0.036099896754206204,external
OV,path_agnn_cox_noreg,0.5086044275601677,0.03376822184093271,external
